ticket_id,title,description,category,resolution,priority,
TKT-1186,Cannot access WiFi,Guest wifi portal is not loading.,Network,Restarted the captive portal service on the wireless LAN controller.,Medium,
TKT-1187,Okta locked out,Too many failed attempts.,Access Management,Unlocked user account in the Okta admin dashboard.,Low,
TKT-1188,Slow checkout process,Customers are complaining the payment page is hanging.,Application,Identified a deadlock in the 3rd party payment gateway SDK. Rolled back to the previous stable version.,Critical,
TKT-1189,MongoDB index missing,Query on the 'email' field is doing a collection scan.,Database,Created a unique index on the email field in the background.,Medium,
TKT-1190,Keyboard broken,The spacebar on my laptop is sticking.,Infrastructure,Dispatched a replacement external keyboard to the user.,Low,
TKT-1191,Need Figma seat,Need an editor seat in Figma.,Access Management,Upgraded user's viewer license to an editor seat in the Figma admin panel.,Low,
TKT-1192,S3 Access Denied,Getting 403 when trying to download a report from S3.,Storage,Added s3:GetObject permission to the user's IAM policy for that specific prefix.,Medium,
TKT-1193,BGP neighbor down,The peering session with the ISP went down.,Network,Contacted ISP. They resolved a line card issue on their end. BGP session restored.,Critical,
TKT-1194,Unusual login location,Alert: Login from Nigeria. User is based in London.,Security,Confirmed it was the user on a layover using airport WiFi. Dismissed alert.,Medium,
TKT-1195,Docker daemon not running,Cannot build images on the runner.,Infrastructure,Started the docker service and enabled it to run on boot via systemctl.,Medium,
TKT-1196,App won't open,Clicking the icon does nothing.,Application,Escalated to human triage.,Low,
TKT-1197,Postgres max connections,The database is refusing new connections.,Database,Increased max_connections in postgresql.conf from 100 to 300 and restarted the service.,High,
TKT-1198,Missing email,I am not receiving emails from a specific vendor.,Network,Whitelisted the vendor's IP address in the Barracuda email gateway.,Medium,
TKT-1199,Forgot PIN,Forgot my Windows Hello PIN.,Access Management,Reset the PIN via Intune MDM.,Low,
TKT-1200,Need more RAM,My laptop is too slow when running Docker.,Infrastructure,Approved hardware upgrade. Shipped 32GB RAM kit to user with installation instructions.,Medium,
TKT-1201,Redis high latency,Commands are taking over 500ms on Redis.,Database,Identified a blocking KEYS command being run by a debugging script. Killed the client connection.,High,
TKT-1202,Certificate warning,Getting a privacy error when visiting the intranet.,Security,Replaced the expired internal CA certificate on the load balancer.,High,
TKT-1203,Cannot push to Github,Getting 'Permission denied (publickey)'.,Access Management,Instructed user to generate a new SSH key and add it to their Github profile settings.,Low,
TKT-1204,Storage Gateway offline,The AWS Storage Gateway VM is unreachable.,Storage,Restarted the VM in the vSphere client. The gateway reconnected to AWS successfully.,High,
TKT-1205,React build failing,Webpack throws out of memory error during build.,Application,Increased the Node memory limit by setting NODE_OPTIONS=--max_old_space_size=4096.,Medium,
TKT-1206,Site-to-site VPN down,The IPsec tunnel to the branch office dropped.,Network,Phase 2 negotiation failed due to a mismatched subnets. Corrected the CIDR block on the remote firewall.,Critical,
TKT-1207,Accidental reply all,I accidentally sent a confidential email to the 'All Company' distro.,Security,Executed an Office 365 message trace and permanently purged the email from all recipient mailboxes.,Critical,
TKT-1208,Jenkins pipeline failing,The test stage fails with 'pytest: command not found'.,Infrastructure,Added 'pip install pytest' to the Jenkinsfile requirements step.,Medium,
TKT-1209,MySQL disk space,The /var/lib/mysql partition is 95% full.,Database,Purged old binary logs using the PURGE BINARY LOGS BEFORE command.,High,
TKT-1210,Help me,I need assistance.,Application,Escalated to human triage queue.,Low,
TKT-1211,Cannot access Slack,Slack desktop app is stuck in a reconnecting loop.,Application,Instructed user to clear Slack app cache (Help -> Troubleshooting -> Clear Cache and Restart).,Low,
TKT-1212,Need AWS CLI access,Need programmatic access to AWS.,Access Management,Created an IAM user with appropriate permissions and securely provided access keys.,Medium,
TKT-1213,NAS drive unreachable,Cannot connect to the QNAP NAS.,Storage,The NAS IP changed after a reboot. Assigned a static IP via DHCP reservation on the firewall.,Medium,
TKT-1214,Pod eviction,Pods are being evicted from the node due to disk pressure.,Infrastructure,Increased the root volume size of the EKS worker nodes to 100GB.,High,
TKT-1215,API token expired,The third-party API integration is returning 401.,Security,Generated a new API token from the vendor portal and updated the AWS Secrets Manager.,Medium,
TKT-1216,Slow database inserts,Bulk inserts are taking too long.,Database,"Disabled indexes temporarily during the bulk load, then rebuilt them afterwards.",Medium,
TKT-1217,DHCP pool exhausted,New devices cannot get an IP address on the guest wifi.,Network,Reduced the DHCP lease time from 8 days to 4 hours to free up IPs faster.,High,
TKT-1218,Forgot my username,What is my login?,Access Management,Provided user with their standard format UPN (firstname.lastname@company.com).,Low,
TKT-1219,Cannot deploy to production,ArgoCD is showing an OutOfSync status.,Application,Manually synced the application in ArgoCD to resolve a git hash mismatch.,Medium,
TKT-1220,SSD failed,My secondary hard drive is not showing up in Windows.,Storage,Confirmed drive failure. Dispatched replacement M.2 SSD.,Medium,
TKT-1221,Need Docker Desktop license,I need a commercial license for Docker.,Access Management,Added user to the Docker Business organization.,Low,
TKT-1222,Kubelet memory usage high,Systemd is killing kubelet for excessive memory.,Infrastructure,Applied a kubelet config patch to limit memory allocation.,High,
TKT-1223,Ransomware alert,Multiple files being encrypted with .locked extension on the fileserver.,Security,Severed server network connection. Initiated full disaster recovery and backup restoration protocol.,Critical,
TKT-1224,Postgres replication broken,The WAL segments are missing on the primary.,Database,Rebuilt the standby server using pg_basebackup.,High,
TKT-1225,Internet speed slow,Speedtest shows 5Mbps down.,Network,Rebooted the user's home ISP modem. Speed returned to 300Mbps.,Low,
TKT-1226,IP address conflict,Windows is reporting an IP address conflict on the network. My IP is 192.168.10.45.,Network,Cleared the DHCP lease on the core router and released/renewed IP on the user machine.,Medium,
TKT-1227,Account locked out,I typed my password wrong too many times. Email: kevin.smith@company.com.,Access Management,Unlocked user account in Active Directory and reset the bad password count.,Low,
TKT-1228,DynamoDB provisioned throughput exceeded,The user-preferences table is throttling write requests.,Database,Switched DynamoDB table billing mode from Provisioned to On-Demand to handle the sudden traffic spike.,High,
TKT-1229,S3 bucket policy syntax error,Terraform apply failed because the S3 bucket policy JSON is invalid.,Storage,Fixed missing comma on line 14 of the IAM policy JSON block in the Terraform module.,Medium,
TKT-1230,Can't login,Help me login.,Access Management,Escalated to human triage. Need to know which system the user is trying to access.,Low,
TKT-1231,RDP connection failing,Cannot Remote Desktop into server WIN-APP-04. Getting connection refused.,Network,Windows Firewall profile switched to Public. Reverted it to Domain profile to allow RDP traffic on port 3389.,High,
TKT-1232,NodeJS version mismatch,The frontend build is failing because it requires Node v18 but the server has v14.,Application,Updated the NVM alias default to v18 and restarted the Jenkins build agent.,Medium,
TKT-1233,Need guest wifi access,"Have clients coming in today, need a guest wifi code.",Network,Generated a 24-hour guest voucher code in the Cisco Meraki dashboard and emailed it to the user.,Low,
TKT-1234,Unencrypted S3 bucket alert,Compliance tool flagged 'dev-logs-raw' bucket for missing KMS encryption.,Security,Enabled default AES-256 server-side encryption on the S3 bucket via AWS CLI.,High,
TKT-1235,Elasticsearch mapping explosion,Cluster is rejecting new documents due to too many dynamic fields.,Database,Updated the index template to strict mapping and disabled dynamic field creation.,Critical,
TKT-1236,Monitor not turning on,My second Dell monitor is completely black.,Infrastructure,Re-seated the DisplayPort cable and swapped the power cable. Monitor powered on.,Low,
TKT-1237,Delete user data request,Received a GDPR request to delete data for user id 99482.,Database,Executed the PII-scrub script against the production database for user ID 99482.,High,
TKT-1238,VPN split DNS issue,"When on VPN, I can't resolve public domains like google.com, only internal ones.",Network,Updated the OpenVPN server config to push public DNS servers alongside the internal DNS server.,Medium,
TKT-1239,Need access to Tableau,Manager approved my request for Tableau Explorer access.,Access Management,Provisioned Tableau Explorer license and assigned user to the 'Sales Analytics' AD group.,Low,
TKT-1240,GitHub Actions runner offline,The self-hosted ubuntu-latest runner is showing offline in repo settings.,Infrastructure,Investigating host machine crash.,High,
TKT-1241,CI pipeline stuck,My PR build has been queued for 30 minutes. Actions aren't picking it up.,Infrastructure,Repeated issue. Linked to master ticket TKT-1240. Restarted the GitHub Actions runner daemon.,High,
TKT-1242,No runners available,Deployment to staging failed. Error: No runners available.,Infrastructure,Repeated issue. Linked to master ticket TKT-1240. Restarted the GitHub Actions runner daemon.,High,
TKT-1243,Actions failing,GitHub actions are queued indefinitely.,Infrastructure,Repeated issue. Linked to master ticket TKT-1240. Restarted the GitHub Actions runner daemon.,High,
TKT-1244,Builds not starting,Commits are not triggering builds.,Infrastructure,Repeated issue. Linked to master ticket TKT-1240. Restarted the GitHub Actions runner daemon.,High,
TKT-1245,GitHub runner crash,Runner disconnected during a Docker build.,Infrastructure,Repeated issue. Linked to master ticket TKT-1240. Restarted the GitHub Actions runner daemon.,High,
TKT-1246,Lost access to Outlook,Outlook is prompting for a password and rejecting it.,Access Management,User's AD password expired. Sent instructions to reset password via the web portal.,Medium,
TKT-1247,AWS WAF blocking legitimate users,Customers are getting 403 Forbidden errors when submitting forms.,Security,Identified false positive in the SQL injection managed rule. Added URI exclusion for the form submission endpoint.,Critical,
TKT-1248,Redis slave read timeout,Application is throwing Redis read timeout exceptions.,Database,Increased the timeout threshold in the Node.js Redis client from 2000ms to 5000ms.,Medium,
TKT-1249,Broken printer,Printer on floor 2 is jammed.,Infrastructure,Cleared paper jam from tray 2 and replaced the toner cartridge.,Low,
TKT-1250,Need AWS console access,I need to view CloudWatch logs for the auth service.,Access Management,Created an IAM user and assigned the CloudWatchLogsReadOnlyAccess managed policy.,Low,
TKT-1251,File not opening,It says the file is corrupted.,Application,Escalated to human triage. Requested the specific file from the user.,Low,
TKT-1252,Postgres CPU spikes during cron,Database CPU hits 100% every night at 2 AM during the cleanup job.,Database,Refactored the cron job to delete rows in batches of 1000 with a sleep interval to reduce lock contention.,High,
TKT-1253,Route 53 health check failed,"The primary endpoint health check is failing, traffic routed to standby.",Network,Investigated primary endpoint. Nginx process had crashed. Restarted Nginx and health checks recovered.,Critical,
TKT-1254,Cannot connect to NAS from Mac,Finder says 'There was a problem connecting to the server'.,Storage,"Enabled SMBv3 support on the QNAP NAS, which is required for the latest macOS update.",Medium,
TKT-1255,Malicious macro detected,Antivirus stopped an Excel macro from executing on my PC.,Security,"Confirmed file contained Emotet payload. Deleted file, isolated machine, ran full scan.",Critical,
TKT-1256,Kubelet PLEG is not healthy,Node is flapping between Ready and NotReady due to PLEG issues.,Infrastructure,Identified high IO wait caused by a noisy neighbor pod. Cordoned the node and evicted the offending pod.,High,
TKT-1257,Change my Slack email,I legally changed my name. Need slack updated to amanda.newname@company.com.,Access Management,Updated the email address and display name in the Slack admin console.,Low,
TKT-1258,React app blank on IE11,A key client is using IE11 and gets a white screen.,Application,Added react-app-polyfill/ie11 to the project and imported it at the top of index.js.,Medium,
TKT-1259,MongoDB Atlas network peering dropped,App cannot connect to the MongoDB Atlas cluster.,Network,The AWS VPC peering connection expired. Accepted the peering request in the AWS console and updated route tables.,Critical,
TKT-1260,OOMKilled Java pod,The Spring Boot application pod is getting OOMKilled.,Application,Adjusted the JVM -Xmx parameter to 75% of the pod memory limit to prevent OS out-of-memory kills.,High,
TKT-1261,Error 404,I got a 404 error.,Application,Escalated to human triage. User needs to provide the URL they are trying to access.,Low,
TKT-1262,Phishing simulation failure,I accidentally clicked the link in the IT phishing test.,Security,Closed. Enrolled user in the mandatory 15-minute cybersecurity awareness training module.,Low,
TKT-1263,RDS automated backup failing,The snapshot process is hanging on the production database.,Storage,Discovered the DB instance was in a 'Storage Full' state. Increased allocated storage to allow backups to resume.,High,
TKT-1264,Forgot lock screen PIN,I cannot log into my Macbook.,Access Management,Booted Mac into recovery mode and reset the password using the FileVault recovery key stored in Intune.,Medium,
TKT-1265,Missing index on MongoDB,The search API is timing out.,Database,Created a compound text index on the 'title' and 'description' fields in the products collection.,High,
TKT-1266,NFS mount hanging on boot,Linux server hangs at boot trying to mount an NFS share.,Storage,Added the '_netdev' option to the /etc/fstab entry to ensure networking is up before mounting.,Medium,
TKT-1267,Need Canva Pro,Need a Canva Pro license for the marketing team.,Access Management,Added user to the Canva Enterprise team portal.,Low,
TKT-1268,BGP route not advertising,The new subnet 10.0.50.0/24 is not reachable from the data center.,Network,Added the network statement for 10.0.50.0/24 into the BGP router configuration.,High,
TKT-1269,Suspicious outbound traffic,Firewall detected SSH traffic to a known malicious IP in Russia.,Security,Blocked outbound port 22 at the firewall edge. Identified a compromised internal developer VM and shut it down.,Critical,
TKT-1270,Kafka consumer group rebalancing,Consumers are constantly rebalancing and not processing messages.,Application,Increased the session.timeout.ms and max.poll.interval.ms settings in the consumer configuration.,High,
TKT-1271,Cannot pull image from Docker Hub,Getting rate limited by Docker Hub.,Infrastructure,Configured Docker daemon to use the company's authenticated Docker Hub service account to bypass anonymous limits.,Medium,
TKT-1272,Database password expired,App logs say 'password has expired' for user 'app_user'.,Database,Connected as Postgres admin and ran ALTER USER app_user VALID UNTIL 'infinity'.,High,
TKT-1273,Phone cord broken,The cord on my desk phone is tangled and cut.,Infrastructure,Replaced the RJ9 handset cord on the user's VoIP phone.,Low,
TKT-1274,App stopped working,It was working yesterday.,Application,Escalated to human triage queue for more context.,Low,
TKT-1275,SAML signature invalid,Okta SSO login failing with 'Invalid SAML Signature'.,Access Management,The SP certificate in Okta was updated but not synced to the application. Uploaded the new metadata XML.,High,
TKT-1276,EBS volume performance degraded,High IO latency on the database data volume.,Storage,Modified the EBS volume type from gp2 to io1 and provisioned 5000 IOPS.,Critical,
TKT-1277,Missing emails in Inbox,I am missing all emails from last week.,Application,Found a rogue Outlook rule moving emails to the 'Archive' folder. Deleted the rule.,Medium,
TKT-1278,Need SQL Server Management Studio,Please install SSMS on my laptop.,Access Management,Approved. Pushed the SSMS deployment package via Microsoft Endpoint Configuration Manager.,Low,
TKT-1279,VPC endpoint policy blocking access,EC2 instances cannot pull from ECR via the VPC endpoint.,Network,Updated the VPC Endpoint policy to allow the ecr:GetDownloadUrlForLayer action.,Medium,
TKT-1280,Lost YubiKey,I lost my YubiKey hardware token. Phone number 555-010-3948.,Security,Revoked the lost YubiKey serial number in Okta. Issued a replacement token to the user.,High,
TKT-1281,Out of memory on Webpack build,The CI/CD pipeline crashes during 'npm run build'.,Application,Increased the node process memory limit in the Jenkinsfile using NODE_OPTIONS.,Medium,
TKT-1282,Postgres max WAL size reached,Database shutting down due to insufficient WAL space.,Database,Increased max_wal_size in postgresql.conf and triggered a manual CHECKPOINT.,Critical,
TKT-1283,Broken chair,My office chair wheel broke off.,Infrastructure,Submitted facility request for chair replacement. Provided temporary chair from storage.,Low,
TKT-1284,VPN authentication failed,Getting 'auth failed' on OpenVPN. Email: tom.hanks@company.com.,Access Management,User account was disabled in AD due to a scheduled termination date. Extended date per HR approval.,High,
TKT-1285,Redis connection refused,The Node.js backend cannot connect to Redis on port 6379.,Database,The Redis server process had crashed. Restarted the redis-server service using systemctl.,High,
TKT-1286,Internet is broken,Fix the wifi.,Network,Escalated to human triage. Need user location and specific error.,Low,
TKT-1287,Terraform state out of sync,Running terraform plan shows changes that shouldn't exist.,Infrastructure,Someone modified the AWS resource manually. Ran terraform refresh to update the local state file.,Medium,
TKT-1288,S3 bucket versioning error,Cannot delete objects from the S3 bucket.,Storage,Versioning was enabled. Instructed user to use the AWS CLI to delete specific versions or configure a lifecycle rule.,Medium,
TKT-1289,Cannot reach external API,Our backend cannot call the Twilio API. Getting connection timeout.,Network,Added an outbound NAT gateway to the private subnet route table to allow internet access.,High,
TKT-1290,Need O365 E5 license,"Need PowerBI Pro, which requires an E5 license upgrade.",Access Management,Upgraded user license from E3 to E5 in the Microsoft 365 Admin Center.,Low,
TKT-1291,Phishing email clicked,I entered my credentials on a site that looked like Office 365.,Security,Immediate password reset. Invalidated all Azure AD sessions. Blocked the malicious URL at the firewall.,Critical,
TKT-1292,React Router not matching routes,Navigating to /profile renders a blank page.,Application,Fixed missing exact prop on the Route component in App.js.,Medium,
TKT-1293,Cassandra node down,One node in the Cassandra ring is showing as DOWN.,Database,Node ran out of disk space. Deleted old snapshots and restarted the Cassandra service.,High,
TKT-1294,USB ports disabled,I cannot plug in my USB thumb drive.,Security,USB mass storage is blocked via group policy for security. Denied request for exception.,Low,
TKT-1295,Jenkins master memory leak,Jenkins UI is unresponsive.,Infrastructure,Increased Java heap space for the Jenkins master node and scheduled a restart.,High,
TKT-1296,Help me please,Need IT help.,Application,Escalated to human triage due to lack of details.,Low,
TKT-1297,File sharing permission denied,Cannot upload to the Marketing Sharepoint site.,Access Management,User had 'Visitor' access. Upgraded permissions to 'Member' in the Sharepoint site settings.,Medium,
TKT-1298,GlusterFS volume degraded,The distributed volume is showing one brick offline.,Storage,Restarted the glusterd service on the failing node and initiated a volume heal process.,High,
TKT-1299,CORS error on production,Font assets are failing to load due to CORS policy.,Application,Added the CloudFront domain to the Access-Control-Allow-Origin header in the Nginx config.,High,
TKT-1300,AWS VPN tunnel down,The IPsec tunnel to the AWS VPC is down.,Network,The pre-shared key (PSK) was accidentally modified. Restored the correct PSK on the customer gateway.,Critical,
TKT-1301,Forgot Windows password,Locked out of my laptop.,Access Management,Verified identity and provided a temporary password via phone. Forced password change on next login.,Medium,
TKT-1302,MySQL foreign key constraint fails,Cannot drop table 'users'.,Database,"Ran SET FOREIGN_KEY_CHECKS=0, dropped the table, then ran SET FOREIGN_KEY_CHECKS=1.",Medium,
TKT-1303,Pod stuck in Terminating,A deleted pod has been in Terminating state for 3 hours.,Infrastructure,Forced deletion of the pod using kubectl delete pod <name> --grace-period=0 --force.,Medium,
TKT-1304,MacBook charger broken,My USB-C charger cable is frayed and sparking.,Infrastructure,Instructed user to stop using the charger immediately. Shipped a replacement 96W power adapter.,High,
TKT-1305,SSL handshake failed,Clients getting SSL error when hitting the load balancer.,Security,The TLS certificate attached to the ALB expired. Bound the newly renewed ACM certificate to the HTTPS listener.,Critical,
TKT-1306,Need Github Enterprise,Please invite me to the enterprise org. Email is sarah.dev@company.com.,Access Management,Sent GitHub Enterprise invitation via the admin dashboard.,Low,
TKT-1307,MongoDB slow text search,Full-text search on the articles collection is very slow.,Database,Rebuilt the text index and increased the RAM allocation for the MongoDB WiredTiger cache.,High,
TKT-1308,Is the system down,Nothing is loading.,Application,Escalated to human triage. Need to determine which system the user is referring to.,Low,
TKT-1309,Cannot mount EFS volume,EC2 instance fails to mount the EFS filesystem.,Storage,The security group on the EFS mount target did not allow NFS port 2049 from the EC2 instance's security group. Added the rule.,High,
TKT-1310,Docker compose network error,Containers cannot communicate with each other via hostnames.,Infrastructure,Added a custom bridge network to the docker-compose.yml and assigned both containers to it.,Medium,
TKT-1311,BGP flapping on edge router,The BGP session drops and reconnects every 5 minutes.,Network,Identified MTU mismatch on the WAN interface. Set MTU to 1500 to match the ISP provider.,Critical,
TKT-1312,Cannot run Python script,Getting 'ModuleNotFoundError: No module named requests'.,Application,Instructed user to activate their virtual environment and run 'pip install requests'.,Low,
TKT-1313,Need access to production logs,I need to view the Kubernetes logs for the production namespace.,Access Management,Denied request. Developers are only granted view access to staging logs per security policy.,Medium,
TKT-1314,Redis out of memory error,OOM command not allowed when used memory > 'maxmemory'.,Database,Increased the maxmemory limit in redis.conf and initiated a rolling restart of the cluster.,Critical,
TKT-1315,Phishing text message,Got an SMS claiming to be the CEO asking for Apple gift cards.,Security,Company-wide alert sent out regarding smishing campaign. Confirmed user did not engage.,Low,
TKT-1316,Storage gateway offline,The file gateway is disconnected from AWS.,Storage,The local VM hosting the gateway ran out of cache disk space. Added a new 100GB virtual disk.,High,
TKT-1317,Forgot WiFi password,What is the password for 'Corp-WiFi'?,Access Management,"Closed ticket. Corp-WiFi utilizes 802.1X certificate-based authentication, no password is required. Instructed user on how to enroll their device.",Low,
TKT-1318,Kube-proxy crashlooping,Kube-proxy pods are failing to start on new nodes.,Infrastructure,The iptables version on the new node AMI was incompatible. Downgraded iptables and restarted the pods.,High,
TKT-1319,Database connection pool exhausted,The Java app is throwing 'Timeout: Pool empty'.,Application,Increased the HikariCP maximumPoolSize from 10 to 50 to handle the concurrent request load.,High,
TKT-1320,Cannot reach internal wiki,wiki.company.local is not resolving.,Network,The DNS record was accidentally deleted. Re-created the A record pointing to the Confluence server IP.,High,
TKT-1321,MFA loop,Okta keeps sending me push notifications but never logs me in.,Access Management,Time sync issue on the user's mobile device. Instructed user to sync time on their phone settings.,Medium,
TKT-1322,Help,It stopped working.,Application,Escalated to human triage queue.,Low,
TKT-1323,MySQL deadlock found when trying to get lock,Transactions are being rolled back due to deadlocks.,Database,Identified two batch processes updating the same tables in reverse order. Scheduled them to run sequentially.,High,
TKT-1324,AWS access key exposed on Github,GitGuardian alerted that an AWS access key was committed.,Security,"Immediately deactivated the exposed key in IAM, rotated credentials, and forced a git history rewrite on the repository.",Critical,
TKT-1325,Need Acrobat Reader,Need to open PDF files.,Access Management,Directed user to the internal self-service portal to download Adobe Reader silently.,Low,
TKT-1326,Forgot VPN password,Cannot connect to the VPN. Email is brad.pitt@company.com.,Access Management,Reset user's AD password and forced MFA re-enrollment.,Medium,
TKT-1327,Redis timeout error,Production caching layer is dropping connections.,Database,Increased the timeout threshold and scaled the ElastiCache cluster by one node.,High,
TKT-1328,Need visio,I need microsoft visio installed.,Access Management,Approved and deployed Visio license via Office 365 admin center.,Low,
TKT-1329,S3 bucket access denied,My script is getting a 403 when reading from s3://prod-data-lake.,Storage,Added s3:GetObject permissions to the script's IAM role.,Medium,
TKT-1330,Wifi dropping,The guest wifi in the lobby keeps disconnecting.,Network,Rebooted the lobby access point and updated its firmware.,Medium,
TKT-1331,Kubernetes pod crashloop,The frontend-ui pod is in a CrashLoopBackOff state.,Application,Fixed a typo in the deployment manifest environment variables.,High,
TKT-1332,Phishing email clicked,I think I clicked a bad link from secure-update@paypal-fake.com.,Security,"Isolated machine, reset user credentials, and ran full EDR scan. Confirmed no lateral movement.",Critical,
TKT-1333,Database slow,Query taking 5 minutes.,Database,Escalated. Need the specific query and database name from the user.,Low,
TKT-1334,EBS volume full,Root volume on the Jenkins master is 100% full.,Storage,Extended the EBS volume by 50GB and ran resize2fs.,High,
TKT-1335,New mouse,My mouse wheel is broken.,Infrastructure,Dispatched a new wireless mouse to the user's desk.,Low,
TKT-1336,Port 443 blocked,Firewall is blocking outbound HTTPS to a partner API.,Security,Added an exception to the outbound firewall policy for the partner's IP range.,Medium,
TKT-1337,Cannot access Jira,Getting an SSO error when logging into Jira.,Access Management,User account was suspended in Okta. Re-enabled access.,Medium,
TKT-1338,High latency to AWS,Pings to us-east-1 are taking 150ms instead of 20ms.,Network,Identified a routing issue with the ISP. ISP rerouted traffic to fix the latency.,High,
TKT-1339,Need local admin,Need admin to install Python.,Access Management,Granted temporary admin rights via LAPS for 2 hours.,Low,
TKT-1340,Outlook not connecting,My Outlook says 'Disconnected' at the bottom.,Application,Investigating widespread Office 365 connectivity issues.,Critical,
TKT-1341,Email down,Cannot send or receive emails.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1342,O365 offline,Teams and Outlook are both offline.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1343,Can't send email,Emails are sitting in my outbox.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1344,Outlook broken,Outlook is asking for password but rejects it.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1345,Emails bouncing,Getting NDRs for all internal emails.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1346,Exchange down?,Webmail is giving a 503 error.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1347,Teams not loading,Cannot join my meeting.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1348,Office 365 login fail,Okta says O365 is unreachable.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1349,No email,"Help, inbox is empty.",Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1350,Outlook frozen,Outlook keeps crashing on launch.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1351,Cannot schedule meeting,Calendar is grayed out.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1352,Teams messages failing,Messages show a red exclamation mark.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1353,O365 error,Getting error 500 on office.com.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1354,Email is broken,Fix the email please.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1355,Outlook disconnected,Still showing disconnected.,Application,Repeated issue. Linked to master ticket TKT-1340. Microsoft is reporting an ongoing Exchange Online outage.,Critical,
TKT-1356,Kafka consumer lag,"The payments topic has a lag of 10,000 messages.",Application,Scaled the consumer group replicas from 2 to 6 to handle the backlog.,High,
TKT-1357,NFS mount stale,The shared drive on the Linux jump box is throwing a stale file handle error.,Storage,Unmounted with lazy detach (umount -l) and remounted the NFS share.,Medium,
TKT-1358,Postgres deadlocks,Seeing transaction deadlocks in the logs for the reporting schema.,Database,Optimized the batch job to lock rows in a consistent alphabetical order to prevent deadlocks.,Critical,
TKT-1359,Laptop won't boot,Getting a 'No bootable device found' error on my Dell XPS.,Infrastructure,SSD failed. Dispatched a replacement laptop and initiated data recovery on the old drive.,High,
TKT-1360,IP whitelisting,Please whitelist 203.0.113.50 on the firewall.,Security,Added the IP to the approved vendor security group for port 443.,Medium,
TKT-1361,Need GitHub Copilot,My manager approved a Copilot license.,Access Management,Assigned GitHub Copilot seat via the enterprise admin dashboard.,Low,
TKT-1362,BGP route flapping,The backup internet link is flapping every 10 minutes.,Network,Contacted the secondary ISP. They replaced a faulty optic on their end.,High,
TKT-1363,React build failing,Webpack is throwing an out of memory error.,Application,Increased the Node memory limit using NODE_OPTIONS=--max_old_space_size=4096.,Medium,
TKT-1364,MongoDB unindexed query,The search endpoint is doing a full collection scan.,Database,Created a compound text index on the description and title fields.,Medium,
TKT-1365,GlusterFS degraded,One of the storage bricks is offline.,Storage,Restarted the glusterd service on the failing node and initiated a heal process.,High,
TKT-1366,MFA push not working,I am not getting the Okta push notifications on my phone.,Access Management,Time on user's phone was out of sync. Instructed user to set phone time to automatic.,Medium,
TKT-1367,Docker daemon crashed,The runner cannot execute Docker commands.,Infrastructure,Restarted the Docker daemon and cleared out orphaned containers consuming disk space.,Medium,
TKT-1368,Malicious file downloaded,Windows Defender quarantined a file named invoice.exe.,Security,"Confirmed malware. Purged the file, ran a full system scan, and blocked the sender domain.",Critical,
TKT-1369,Broken keyboard,Spacebar is sticky.,Infrastructure,Provided a replacement keyboard from IT inventory.,Low,
TKT-1370,Cannot connect to DB,Getting connection refused on port 5432.,Network,The EC2 security group did not allow traffic from the VPN subnet. Added the inbound rule.,High,
TKT-1371,AWS account locked,Root account is locked out due to billing issues.,Access Management,Escalated to Finance to update the expired credit card on the AWS account.,Critical,
TKT-1372,Slow database,It's slow.,Database,Escalated to human triage queue for more context.,Low,
TKT-1373,Terraform lock stuck,Cannot apply changes because the state is locked.,Infrastructure,Force-unlocked the Terraform state using the lock ID after confirming no other runs were active.,Medium,
TKT-1374,Need read access,Need read access to the marketing S3 bucket.,Storage,Attached a read-only IAM policy to the user's role for that specific S3 bucket ARN.,Low,
TKT-1375,CORS error,Frontend is getting blocked by CORS.,Application,Added the frontend domain to the allowed origins list in the backend API configuration.,Medium,
